Datetime,Text,Like
2022-07-22 21:04:49+00:00,"오늘의_밝은미래
예쁜케이크
용산동레터링케이크
제페토
학원페인트
복층글램핑
먹스타그램맞팔 https://t.co/dnjtXKdZiU",0
2022-07-22 19:22:32+00:00,제페토 ㅋㅋ.ㅋ.ㅋ.ㅋ.ㅋ.ㅋ.ㅋ.ㅋ.ㅁㅊ,0
2022-07-22 18:46:19+00:00,"극락고친구들 냅다 불러 춤추게하기 헿
근데 왜자꾸 젶토에 올리면 오류나는겨;
노래 싱크 안맞아아아!!!!
#극락고등학교 #Geukrak_Highschool
#제페토 #ZEPETO 
https://t.co/qa00Pjj6MY https://t.co/2BixTcB5DX",6
2022-07-22 18:39:17+00:00,헤헤 하고싶었던거 했다.. 자야지… #zepeto #제페토 https://t.co/0YJ9CFNEh3,10
2022-07-22 18:38:21+00:00,"남양주한강우성
함께의가치
트렌드콘서트
머리숱부자아기
트위터
필터3개증정
해동용궁사
제페토 https://t.co/R4feFqdugF",0
2022-07-22 18:15:16+00:00,블랙핑크덕질..어디까지가는가.. 제페토팬싸와.. 버추얼콘서트까지.....,51
2022-07-22 18:11:47+00:00,"제 13회 괭피아 불금파티
드코 : 마계
#제페토 #ZEPETO #괭피아 https://t.co/2wcTvg5Kmh",6
2022-07-22 17:32:24+00:00,"사케바4월
축하공연
남해군채팅
제페토
성실시공
위닝시리즈
엔클로버
기간
인스타펫
레몬오이수 https://t.co/tsUH3FQsf6",0
2022-07-22 17:02:28+00:00,"@kampoengecicut Day 5: Avant Garde

Siap jalan di SCBD

#ECICUT7DaysChallenge #ZEPETO #제페토 #ゼペット https://t.co/PV0BOSZm1A",17
2022-07-22 16:48:49+00:00,"아 이짤도 있었
 그냥 꿈 크게 가지라고 학생회장 시킴ㅋㅋㅋㅋㅋㅜ

 #제페토 https://t.co/NZ7L5aATWf",11
2022-07-22 16:41:56+00:00,제페토 팬미팅은 정말.. 최고였어,0
2022-07-22 16:33:56+00:00,"이젠 제페토로 사기치는거 같은데😶💦
Before.                     After. https://t.co/iqNdWRatb6",12
2022-07-22 16:30:32+00:00,지인이 내 제페토 캐가 심즈 닮았다고 해서 그래서 더 웃김ㅋㅋㅋ https://t.co/cUclB14r9u,2
2022-07-22 16:27:44+00:00,#ZEPETO #제페토 #ゼペット https://t.co/tFV6TPFrjg,3
2022-07-22 16:25:06+00:00,"오랜만에 잘생긴
#제페토 #zepeto https://t.co/ncjiomUvMm",13
2022-07-22 16:02:28+00:00,"제 2의 제페토 되는 거 아닌지.. 머라하든 말든 세자초연 냅다 레쭈고! 욱이는 혼자 레쭈고! 오박사팀 뒷목 잡을 듯..  

 https://t.co/2DxOsW9X6z",0
2022-07-22 15:51:56+00:00,"아몰라걍제페토하러감
게이터지면 알려줭",0
2022-07-22 15:50:46+00:00,"마자마자ㅋㅋㅋㅋㅋ 난 제페토가 진짜 너무 재밌었어.. 세자오빠 입만 열면 기절함 ㅠㅠㅠ  

 https://t.co/XcXGjWfZ4e",1
2022-07-22 15:46:15+00:00,키키 이제 꺼 제페토해여대..,0
2022-07-22 15:41:08+00:00,"근데이제그만해도돼
난부이앱길게하는거병로안조아해
나도할일이잇어 (예를들면제페토라던지)
그런데 양리더 수고하니깐",0
2022-07-22 15:36:41+00:00,"𝚛𝚊𝚒𝚑𝚕𝚊𝚑 𝓴𝓮𝓳𝓪𝔂𝓪𝓪𝓷 𝕓𝕖𝕣𝕤𝕒𝕞𝕒 #####  
#ZEPETO #제페토 #ゼペット https://t.co/UVCOyYhYYv",14
